infra	installed	brew
infra	installed	npm
infra	absent	uv
infra	installed	fzf
infra	absent	gh
infra	absent	wrangler
infra	absent	deno
infra	absent	bun
infra	absent	pnpm
infra	absent	jq
infra	absent	yq
infra	absent	ripgrep
infra	absent	fd
infra	absent	just
infra	absent	shellcheck
infra	absent	actionlint
coding-agents	absent	claude
coding-agents	absent	copilot
coding-agents	absent	codex
coding-agents	absent	antigravity
coding-agents	absent	grok
coding-agents	installed	gemini
coding-agents	absent	pi
coding-agents	absent	kilo
coding-agents	absent	gsd2
coding-agents	absent	opencode
coding-agents	absent	hermes
coding-agents	absent	warp
coding-agents	absent	aider
coding-agents	absent	goose
coding-agents	absent	cursor
coding-agents	absent	qwen
coding-agents	absent	crush
coding-agents	absent	amp
coding-agents	absent	kiro
coding-agents	absent	droid
coding-agents	absent	kimi
coding-agents	absent	openclaw
coding-agents	absent	cline
coding-agents	installed	continue
adapters	absent	pi-acp
llm-utils	absent	llm
llm-utils	absent	mods
llm-utils	absent	aichat
llm-utils	absent	fabric
llm-utils	absent	sgpt
local-ai	absent	ollama
local-ai	absent	lm-studio
local-ai	absent	jan
local-ai	installed	gpt4all
local-ai	absent	anythingllm
local-ai	absent	mlx
local-ai	absent	mlx-lm
chat	absent	chatgpt
chat	absent	claude-app
chat	absent	copilot-app
chat	absent	perplexity
editors	absent	vscode
editors	absent	vscode-insiders
editors	absent	cursor-ide
editors	absent	zed
editors	absent	antigravity-ide
workspaces	absent	t3-code
workspaces	absent	t3-nightly
workspaces	absent	grokbot
workspaces	absent	opencode-desktop
workspaces	absent	hermes-desktop
terminals	absent	cmux
terminals	absent	warp-app
terminals	absent	ghostty
terminals	absent	iterm2
local-ai	absent	ollama-app
local-ai	absent	macwhisper
local-ai	absent	screenpipe
workspaces	installed	n8n
coding-agents	absent	interpreter
coding-agents	absent	vibe
local-ai	absent	llama-cpp
local-ai	absent	llama-app
local-ai	absent	whisper-cpp
coding-agents	absent	openhands
